city,timestamp,temperature,season
New York,2010-01-01,6.577354331619425,winter
New York,2010-01-02,7.9900980489011495,winter
New York,2010-01-03,-2.4992094884973715,winter
New York,2010-01-04,3.116442424270321,winter
New York,2010-01-05,2.3185974995261214,winter
New York,2010-01-06,7.381041356826533,winter
New York,2010-01-07,0.13464478567464683,winter
New York,2010-01-08,-7.8409619484569015,winter
New York,2010-01-09,7.262875699131092,winter
New York,2010-01-10,3.936546403634165,winter
New York,2010-01-11,-0.021629139233482197,winter
New York,2010-01-12,-3.7257488643765506,winter
New York,2010-01-13,4.915941439932769,winter
New York,2010-01-14,1.4983883151651456,winter
New York,2010-01-15,1.7273810992082788,winter
New York,2010-01-16,1.2447597573388889,winter
New York,2010-01-17,2.160067836980251,winter
New York,2010-01-18,4.010965463063865,winter
New York,2010-01-19,-2.376599738201956,winter
New York,2010-01-20,-6.0288867887103965,winter
New York,2010-01-21,1.6254739766550923,winter
New York,2010-01-22,-2.4341041574599314,winter
New York,2010-01-23,-3.7174542305945497,winter
New York,2010-01-24,3.92366663297508,winter
New York,2010-01-25,-0.9276794385684405,winter
New York,2010-01-26,-5.4019530613749005,winter
New York,2010-01-27,3.1004862716156167,winter
New York,2010-01-28,5.760542126904438,winter
New York,2010-01-29,4.918599240151961,winter
New York,2010-01-30,11.872580855906332,winter
New York,2010-01-31,-2.7081756966316335,winter
New York,2010-02-01,-3.160414567659502,winter
New York,2010-02-02,-2.6042205063113686,winter
New York,2010-02-03,2.879463119751002,winter
New York,2010-02-04,-2.0120407889387075,winter
New York,2010-02-05,-1.7736613751861228,winter
New York,2010-02-06,0.5473653718421081,winter
New York,2010-02-07,5.351012602788584,winter
New York,2010-02-08,2.914585890851933,winter
New York,2010-02-09,-4.862064514376518,winter
New York,2010-02-10,4.467967891441439,winter
New York,2010-02-11,4.857849022505438,winter
New York,2010-02-12,-0.9440798022988881,winter
New York,2010-02-13,4.94890715402034,winter
New York,2010-02-14,-2.126535045884893,winter
New York,2010-02-15,1.995482306129916,winter
New York,2010-02-16,-9.625591688244267,winter
New York,2010-02-17,5.4511606937694665,winter
New York,2010-02-18,1.3095062746776034,winter
New York,2010-02-19,-7.253354785157294,winter
New York,2010-02-20,4.071004137124542,winter
New York,2010-02-21,-2.765069240497499,winter
New York,2010-02-22,3.356922794921728,winter
New York,2010-02-23,0.8634451889816943,winter
New York,2010-02-24,3.1401298964506674,winter
New York,2010-02-25,-4.879384005557986,winter
New York,2010-02-26,-1.9982975712041873,winter
New York,2010-02-27,1.2853058520906209,winter
New York,2010-02-28,4.350226196517918,winter
New York,2010-03-01,7.4157363720460445,spring
New York,2010-03-02,8.347637688189643,spring
New York,2010-03-03,-0.7609966023532921,spring
New York,2010-03-04,13.11110195229241,spring
New York,2010-03-05,12.971663120989152,spring
New York,2010-03-06,15.242136408630357,spring
New York,2010-03-07,1.0909495006594983,spring
New York,2010-03-08,6.842493132876953,spring
New York,2010-03-09,14.296924344453325,spring
New York,2010-03-10,4.1576588419351985,spring
New York,2010-03-11,7.711299659630976,spring
New York,2010-03-12,3.7645007805246244,spring
New York,2010-03-13,13.105075484409191,spring
New York,2010-03-14,11.513184843412194,spring
New York,2010-03-15,6.515013114728579,spring
New York,2010-03-16,23.823353714817102,spring
New York,2010-03-17,14.354086003528636,spring
New York,2010-03-18,11.838760605561392,spring
New York,2010-03-19,0.32247372242327876,spring
New York,2010-03-20,8.628969251022381,spring
New York,2010-03-21,10.606679124520351,spring
New York,2010-03-22,13.049310497920139,spring
New York,2010-03-23,11.272400160861674,spring
New York,2010-03-24,6.022001097672883,spring
New York,2010-03-25,14.070836515567022,spring
New York,2010-03-26,9.279108066673581,spring
New York,2010-03-27,10.113569409616401,spring
New York,2010-03-28,10.397184156482762,spring
New York,2010-03-29,3.2957542910486537,spring
New York,2010-03-30,8.385797284142338,spring
New York,2010-03-31,12.439823162345894,spring
New York,2010-04-01,3.105917523456662,spring
New York,2010-04-02,11.1147633132769,spring
New York,2010-04-03,9.764772614009377,spring
New York,2010-04-04,5.704072104923882,spring
New York,2010-04-05,13.364927393077194,spring
New York,2010-04-06,5.881366695867618,spring
New York,2010-04-07,20.106396056650027,spring
New York,2010-04-08,4.539953630347967,spring
New York,2010-04-09,13.267640570456349,spring
New York,2010-04-10,19.942882256118146,spring
New York,2010-04-11,8.875937271273692,spring
New York,2010-04-12,14.092108818017735,spring
New York,2010-04-13,14.693891535565065,spring
New York,2010-04-14,8.276556880706394,spring
New York,2010-04-15,12.378806232265697,spring
New York,2010-04-16,6.660352866993002,spring
New York,2010-04-17,2.616757548385044,spring
New York,2010-04-18,11.032302035662717,spring
New York,2010-04-19,15.171882410080599,spring
New York,2010-04-20,14.711034114544898,spring
New York,2010-04-21,15.918874644644609,spring
New York,2010-04-22,16.142086813058846,spring
New York,2010-04-23,4.386676696610367,spring
New York,2010-04-24,6.7809107086163305,spring
New York,2010-04-25,8.260076469959742,spring
New York,2010-04-26,12.891434869377063,spring
New York,2010-04-27,5.9685765927871,spring
New York,2010-04-28,10.106227740038326,spring
New York,2010-04-29,9.09297091147022,spring
New York,2010-04-30,1.0752547307053406,spring
New York,2010-05-01,9.804041460114254,spring
New York,2010-05-02,12.996431871714034,spring
New York,2010-05-03,13.148238905691729,spring
New York,2010-05-04,4.124438105697674,spring
New York,2010-05-05,11.441516490126713,spring
New York,2010-05-06,3.001937728035254,spring
New York,2010-05-07,13.132881881837719,spring
New York,2010-05-08,9.75413965034355,spring
New York,2010-05-09,21.29182201845434,spring
New York,2010-05-10,6.375365817937057,spring
New York,2010-05-11,10.862572794113357,spring
New York,2010-05-12,14.330690280574673,spring
New York,2010-05-13,13.089246924876953,spring
New York,2010-05-14,11.306068380055027,spring
New York,2010-05-15,15.127248046791454,spring
New York,2010-05-16,16.201864694996033,spring
New York,2010-05-17,6.727329604754158,spring
New York,2010-05-18,4.26373090138255,spring
New York,2010-05-19,12.907413300143565,spring
New York,2010-05-20,17.28029452208848,spring
New York,2010-05-21,10.029892639716431,spring
New York,2010-05-22,4.38558917078646,spring
New York,2010-05-23,1.656970001536343,spring
New York,2010-05-24,9.021743085639063,spring
